Plant_ID,rgr_h_FM,rgr_h_MA,rgr_h_AM,rgr_h_MJ,rgr_l_FM,rgr_l_MA,rgr_l_AM,rgr_l_MJ,rgr_v_FM,rgr_v_MA,rgr_v_AM,rgr_v_MJ
C4.VICSAT.1,0.02102091178338731,0.06609382353302548,NA,NA,0.03524195122592904,0.01768760836873901,NA,NA,0.08251363562414937,0.13484830431180728,NA,NA
C5.BRODIA.1,NA,0.04088357467785308,-0.016817893665517624,NA,NA,0.005006276201534438,-0.047872590616214995,NA,NA,0.11753681581986895,-0.08288700065420815,NA
C5.BROHOR.1,NA,0.05131300191137354,NA,NA,NA,0.019530878445544873,NA,NA,NA,0.09005614801535154,NA,NA
C5.DAUPUS.1,0.03393669377311686,0.054090204065994664,0.032437618536406476,NA,0.03393669377311685,-0.00769460521773137,0,NA,0.08444860137562916,0.0854505213093546,0.048234495010142424,NA
C5.GERDIS.1,0.044591585345405034,0.05186473781987151,NA,NA,0.02244947420630799,0.04364366804590605,NA,NA,0.09627928897152428,0.1064814064421003,NA,NA
C5.MADGRA.1,0.04769830697431993,0.047203538565793846,0.015351081896830543,NA,0.052107912900838,0.06618347223676119,0.037835567645243096,NA,0.0878882676532393,0.06107222073004196,0.03544783742835281,NA
C5.TORARV.1,0.040689344024744806,0.028217597362550043,NA,NA,0.010654891572288177,0,NA,NA,0.043653888753394314,0.0887010160261779,NA,NA
C5.TRIHIR.1,0.055706570250973114,0.04966764077207471,0.026637683271668707,NA,0.015017226226228315,0.029217167599558738,0.011977700016281937,NA,0.12836058899258246,0.10825557425910186,0.06897297559467003,NA
C5.VICSAT.1,0.03268108074809161,0.03322198311378817,NA,NA,0.04505167867868494,0.007949091676270083,NA,NA,0.07130706895750286,0.09022587883574548,NA,NA
C6.AMSMEN.1,0.03336246464215517,NA,NA,NA,0.01823986981843681,NA,NA,NA,0.074815485970705,NA,NA,NA
C6.AVEBAR.1,NA,0.08755082313994057,0.022052555689588842,NA,NA,0.0013887551426875898,-0.007234168468017467,NA,NA,0.16139309151967537,0.007036309721057776,NA
C6.BROARE.1,NA,0.019156062161513703,-0.007427170202216218,NA,NA,0.033821698379714694,-0.008690570707120444,NA,NA,0.09307055865683639,-0.04460331256240648,NA
C6.BRODIA.1,NA,0.055497859049451745,-0.012019957960413557,NA,NA,0.015985266859153288,-0.007289125877237717,NA,NA,0.11209169560748734,-0.023384631834682517,NA
