Site,Date,Plot,Species,Percent_Cover,Collected_specimen,Herbarium specimen,Notes
McLaughlin Natural Reserve,3/23/22,4,Rock,0,,,
McLaughlin Natural Reserve,3/23/22,4,Thysanocarpus sp.,1,,,
McLaughlin Natural Reserve,3/23/22,4,Trifolium hirtum,4,,,fuzzy
McLaughlin Natural Reserve,3/23/22,4,Trifolium sp.,1,,,not fuzzy
McLaughlin Natural Reserve,3/23/22,4,Unknown forb,1,,,"picture at 3:51, opposite lvs, collected, not in fl"
McLaughlin Natural Reserve,5/16/22,4,Avena barbata,2,,,could be barbata
McLaughlin Natural Reserve,5/16/22,4,Elymus caput-medusae,3,,,could be barbata
McLaughlin Natural Reserve,5/16/22,4,Bromus hordeaceus,2,,,could be barbata
McLaughlin Natural Reserve,3/23/22,5,Acmispon wrangelianus,1,,,
McLaughlin Natural Reserve,3/23/22,5,Bare ground,0,,,
McLaughlin Natural Reserve,3/23/22,5,Clarkia purpurea,20,,,
McLaughlin Natural Reserve,3/23/22,5,Erodium botrys,30,,,
McLaughlin Natural Reserve,3/23/22,5,Grass,35,,,
McLaughlin Natural Reserve,3/23/22,5,Holocarpha virgata,5,,,
McLaughlin Natural Reserve,3/23/22,5,Hypochaeris glabra,3,,,
McLaughlin Natural Reserve,3/23/22,5,Leptosiphon bicolor,3,,,
McLaughlin Natural Reserve,3/23/22,5,Litter,25,,,
McLaughlin Natural Reserve,3/23/22,5,Lupinus bicolor,8,,,
McLaughlin Natural Reserve,3/23/22,5,Rock,0,,,
McLaughlin Natural Reserve,3/23/22,5,Trifolium hirtum,1,,,fuzzy
McLaughlin Natural Reserve,3/23/22,5,Unk Apiaceae,1,,,
McLaughlin Natural Reserve,3/23/22,5,Vicia villosa,5,,,
McLaughlin Natural Reserve,5/16/22,5,Avena barbata,3,,,could be barbata
McLaughlin Natural Reserve,5/16/22,5,Elymus caput-medusae,9,,,could be barbata
McLaughlin Natural Reserve,5/16/22,5,Bromus hordeaceus,2,,,could be barbata
McLaughlin Natural Reserve,3/23/22,6,Acmispon wrangelianus,1,,,
McLaughlin Natural Reserve,3/23/22,6,Bare ground,7,,,
McLaughlin Natural Reserve,3/23/22,6,Clarkia purpurea,10,,,
McLaughlin Natural Reserve,3/23/22,6,Erodium botrys,30,,,
McLaughlin Natural Reserve,3/23/22,6,Grass,5,,,
McLaughlin Natural Reserve,3/23/22,6,Holocarpha virgata,5,,,
McLaughlin Natural Reserve,3/23/22,6,Hypochaeris glabra,1,,,
McLaughlin Natural Reserve,3/23/22,6,Litter,5,,,
McLaughlin Natural Reserve,3/23/22,6,Lupinus bicolor,9,,,
McLaughlin Natural Reserve,3/23/22,6,Micropus californicus,25,,,
McLaughlin Natural Reserve,3/23/22,6,Plantago erecta,15,,,
McLaughlin Natural Reserve,3/23/22,6,Rock,0,,,
McLaughlin Natural Reserve,3/23/22,6,Trifolium hirtum,1,,,fuzzy
McLaughlin Natural Reserve,5/16/22,6,Avena barbata,1,,,could be barbata
McLaughlin Natural Reserve,5/16/22,6,Elymus caput-medusae,2,,,could be barbata
