Plant_ID,Species,Recorder,Collection_Date,Flower_Count,Flower_1_g,Flower_2_g,Flower_3_g,Flower_4_g,Flower_5_g,Flower_6_g,Flower_7_g,Flower_8_g,Flower_9_g,Flower_10_g,Veg_Mass,NOTES
I7.PLAERE.1,PLAERE,HR,5/11/23,66,0.0055,0.0055,0.0041,0.0045,0.0061,0.0047,0.005,0.0055,0.0042,0.0058,0.23,
J3.PLAERE.1,PLAERE,HR,5/17/23,24,0.0032,0.0038,0.0026,0.0029,0.0025,0.0033,0.0028,0.0041,0.0022,0.0023,0.25,
J6.PLAERE.1,PLAERE,HK,5/17/23,16,0.0042,0.0037,0.0027,0.0033,0.0024,0.0027,0.0034,0.0026,0.0031,0.0017,0.0425,
A1.SANBIP.1,SANBIP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
B4.SANBIP.1,SANBIP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
C3.SANBIP.1,SANBIP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
C8.SANBIP.1,SANBIP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
D1.SANBIP.1,SANBIP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
E1.SANBIP.1,SANBIP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
E3.SANBIP.1,SANBIP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
F1.SANBIP.1,SANBIP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
G6.SANBIP.1,SANBIP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
G7.SANBIP.1,SANBIP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
H2.SANBIP.1,SANBIP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
H6.SANBIP.1,SANBIP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
I5.SANBIP.1,SANBIP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
I6.SANBIP.1,SANBIP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
