Sample_ID,δ13CVPDB_permil,Total_C_µg,C_Comment,δ15NAir_permil,Total_N_µg,N_Comment,Tray_Name,Well_Id,Type_of_Material,Analysis,Sample_Weight_mg_from_Sample_List,Internal_ID,Analysis_Number,Mass_Spec,Error
F1 DAUPUS 1,-31.21,1439.31,,1.02,59.17,,USDADrought4,B11,leaf,"13C, %N",3.565,2225836,612573,D,
F1 HYPGLA 2,-30.2,1369.62,,1.15,67.74,,USDADrought3,A9,leaf,"13C, %N",3.506,2225726,612427,D,
F1 MADGRA 2,-30.81,1464.38,,2.51,97.37,,USDADrought3,A2,leaf,"13C, %N",3.586,2225719,612420,D,
F2 AVEBAR 2,-29.53,1342.09,,2.76,69.61,,USDADrought4,F5,leaf,"13C, %N",3.323,2225878,613805,D,
F2 BROARE 2,-30.21,1559.68,,1.96,87.76,,USDADrought2,B8,leaf,"13C, %N",3.975,2225641,612323,D,
F2 BRODIA 2,-29.71,1352.5,,1.76,58.48,,USDADrought5,A12,leaf,"13C, %N",3.3,2225921,612677,D,
F2 BROMAD 2,-30.39,1575.12,,1.03,64.12,,USDADrought7,A1,leaf,"13C, %N",3.987,2226102,613288,D,
F2 EROCIC 1,-30.12,1416.59,,3.83,115.83,,USDADrought1,A4,leaf,"13C, %N",3.824,2225529,612175,D,
F2 LUPMIC 1,-31.56,1447.88,,-0.27,90.2,,USDADrought1,C12,leaf,"13C, %N",3.947,2225561,612217,D,
F2 LUPSUC 2,-30.63,1079.98,,-0.29,76.76,,USDADrought1,B12,leaf,"13C, %N",3.117,2225549,612201,D,
F3 AVEBAR 1,-28.44,1421.42,,1.92,80.74,,USDADrought7,D1,leaf,"13C, %N",3.606,2226138,613337,D,
F3 BRODIA 2,-31.14,1493.15,,0.35,51.71,,USDADrought5,H5,leaf,"13C, %N",3.807,2225998,612784,D,
F3 BROHOR 2,-29.75,1293.08,,1.86,68.19,,USDADrought4,G9,leaf,"13C, %N",3.32,2225894,613566,D,
F3 CLAPUR 2,-31.41,1358.84,,2.52,48.23,,USDADrought4,E8,leaf,"13C, %N",3.343,2225869,612618,D,
F3 DAUPUS 2,-31.05,1179.6,,0.93,36.18,,USDADrought7,A3,leaf,"13C, %N",3.243,2226104,613290,D,
F3 EROBOT 1,-30.27,1462.46,,6.33,100.26,,USDADrought2,F8,leaf,"13C, %N",3.721,2225689,613702,D,
F3 GERDIS 2,-32.12,1458.09,,2.21,78.23,,USDADrought2,E11,leaf,"13C, %N",3.803,2225680,612374,D,
F3 MADGRA 2,-29.51,1429,,2.65,83.56,,USDADrought3,G4,leaf,"13C, %N",3.542,2225793,612518,D,
F3 TORARV 2,-31.01,1328.23,,0.66,42.14,,USDADrought2,C3,leaf,"13C, %N",3.707,2225648,612336,D,
F3 VICSAT 2,-29.35,1438.24,,0,83.68,,USDADrought6,C2,leaf,"13C, %N",3.413,2226031,612829,D,
F4 AVEBAR 2,-29.78,1380.8,,3.14,80.13,,USDADrought4,F6,leaf,"13C, %N",3.473,2225879,613806,D,
F4 BRODIA 2,-29.73,1421.83,,2.14,64.06,,USDADrought5,E2,leaf,"13C, %N",3.381,2225959,612733,D,
F4 BROHOR 2,-30.09,1467.8,,1.12,69.28,,USDADrought5,D6,leaf,"13C, %N",3.68,2225951,612719,D,
F4 BROMAD 2,-29.83,1242.95,,1.38,58.44,,USDADrought7,A6,leaf,"13C, %N",3.274,2226107,613293,D,
F4 CLAPUR 2,-31.1,1614.66,,0.45,62.78,,USDADrought4,E1,leaf,"13C, %N",3.996,2225862,612611,D,
F4 ELYCAP 2,-30.23,1391.07,,1.42,62.66,,USDADrought1,D7,leaf,"13C, %N",3.817,2225568,612226,D,
F4 MICCAL 2,-30.44,1423.25,,1.43,99.13,,USDADrought1,C7,leaf,"13C, %N",3.51,2225556,612212,D,
F4 PLAERE 2,-29.44,1331.4,,1.42,59.73,,USDADrought3,B8,leaf,"13C, %N",3.27,2225737,612444,D,
F4 TRIHIR 2,-30.58,1172.48,,-0.98,48.68,,USDADrought2,A2,leaf,"13C, %N",3.194,2225623,612303,D,
F5 AVEBAR 2,-28.31,1318.06,,2.65,104.07,,USDADrought6,A12,leaf,"13C, %N",3.062,2226017,612807,D,
F5 BRODIA 2,-29.96,1260.26,,2.49,55.1,,USDADrought6,H4,leaf,"13C, %N",3.216,2226093,613448,D,
F5 BROHOR 2,-30.8,1411.18,,1.42,72.55,,USDADrought5,D7,leaf,"13C, %N",3.568,2225952,612720,D,
F5 BROMAD 2,-29.73,1266.15,,1.87,36.49,,USDADrought7,B1,leaf,"13C, %N",3.304,2226114,613306,D,
F5 CLAPUR 2,-31.14,1385.56,,1.21,69.33,,USDADrought4,E9,leaf,"13C, %N",3.412,2225870,612619,D,
F5 ELYCAP 2,-29.8,1213.83,,0.9,40.95,,USDADrought3,C12,leaf,"13C, %N",3.292,2225753,612464,D,
F5 EROBOT 1,-31.26,1495.14,,2.92,67.11,,USDADrought1,A7,leaf,"13C, %N",3.895,2225532,612178,D,
F5 HOLVIR 2,-31.3,1391.85,,1.91,44.97,,USDADrought2,G8,leaf,"13C, %N",3.477,2225701,611570,D,
F5 LUPBIC 2,-29.5,1335.81,,-0.52,124.55,,USDADrought3,H10,leaf,"13C, %N",3.173,2225811,612542,D,
F5 MICCAL 2,-29.83,1388.62,,1.06,96.56,,USDADrought1,C5,leaf,"13C, %N",3.428,2225554,612210,D,
F5 PLAERE 2,-31.01,1587.02,,1.69,90.66,,USDADrought3,B9,leaf,"13C, %N",3.813,2225738,612445,D,
F5 TRIHIR 2,-30.91,1182.71,,-0.61,54.4,,USDADrought2,A3,leaf,"13C, %N",3.191,2225624,612304,D,
F6 AVEFAT 1,-28.94,1554.74,,1.99,61.54,,USDADrought6,B1,leaf,"13C, %N",3.82,2226018,612810,D,
F6 BRODIA 2,-29.77,1397.51,,1.36,44.06,,USDADrought5,H6,leaf,"13C, %N",3.449,2225999,612785,D,
F6 BROHOR 2,-31.18,1443.1,,1.52,62.85,,USDADrought5,C12,leaf,"13C, %N",3.643,2225945,612711,D,
F6 BROMAD 2,-30.32,1193.21,,2.54,54.4,,USDADrought7,A9,leaf,"13C, %N",3.145,2226110,613296,D,
F6 CENMEL 2,-30.72,1404.61,,2.03,87.27,,USDADrought1,G6,leaf,"13C, %N",3.692,2225603,612273,D,
F7 AVEBAR 2,-30.15,2645.15,,2.11,201.35,,USDADrought5,G5,leaf,"13C, %N",3.577,2225986,612766,D,old
F7 AVEBAR 2,-29.64,1939.01,,2.24,124.57,,USDADroughtR,A1,leaf,"13C, %N",4.534,2266652,629529,D,new
F7 BROARE 2,-30.02,1211.16,,1.75,50.93,,USDADrought2,B6,leaf,"13C, %N",3.33,2225639,612321,D,
F7 BRODIA 2,-30.16,1610.51,,1.06,69.83,,USDADrought6,H5,leaf,"13C, %N",3.968,2226094,613449,D,
F7 BROMAD 2,-30.29,1500.83,,2,65.43,,USDADrought7,A10,leaf,"13C, %N",3.934,2226111,613297,D,
F7 LUPMIC 2,-30.22,1342.73,,-0.31,68.15,,USDADrought5,F9,leaf,"13C, %N",3.761,2225978,612756,D,
F8 AVEBAR 2,-29.74,1475.87,,2.22,88.7,,USDADrought6,B2,leaf,"13C, %N",3.494,2226019,612811,D,
F8 BRODIA 2,-30.77,1420.48,,1.64,58.41,,USDADrought2,H3,leaf,"13C, %N",3.68,2225708,611583,D,
F8 BROHOR 2,-29.97,1506.73,,0.67,97.7,,USDADrought5,D1,leaf,"13C, %N",3.702,2225946,612714,D,
F8 CLAPUR 2,-31.15,1454.55,,0.9,61.39,,USDADrought4,E11,leaf,"13C, %N",3.638,2225872,612621,D,
