sample,total.leaf.area
E6STIPUL2_20230520,0.367
F6STIPUL2_20230520,0.213
G3STIPUL2_20230520,0.412
H1STIPUL2_20230520,0.398
H8STIPUL2_20230520,0.783
I2STIPUL2_20230520,0.302
J5STIPUL2_20230520,0.499
J8STIPUL2_20230520,0.678
A3TORARV2_20230520,3.612
B1TORARV2_20230520,1.527
B7TORARV2_20230520,2.862
C4TORARV2_20230520,5.516
C5TORARV2_20230520,4.089
D2TORARV2_20230520,4.09
D6TORARV2_20230520,3.565
E8TORARV2_20230520,3.313
F3TORARV2_20230520,2.971
F8TORARV2_20230520,3.478
G1TORARV2_20230520,3.812
G8TORARV2_20230520,2.885
H5TORARV2_20230520,4.285
I1TORARV2_20230520,3.157
I4TORARV2_20230520,1.246
J1TORARV2_20230520,3.298
A8TRIHIR1_20230509,2.614
B2TRIHIR2_20230509,4.139
B5TRIHIR1_20230509,3.556
B7TRIHIR1_20230509,3.431
C1TRIHIR2_20230509,2.949
C5TRIHIR2_20230509,3.927
D2TRIHIR2_20230509,3.843
D6TRIHIR2_20230509,2.159
E7TRIHIR1_20230509,2.601
E8TRIHIR1_20230509,3.32
F3TRIHIR2_20230509,0.537
F4TRIHIR1_20230509,4.014
F5TRIHIR2_20230509,3.202
F8TRIHIR1_20230509,3.338
G1TRIHIR1_20230509,3.662
G2TRIHIR2_20230509,3.719
G5TRIHIR1_20230509,2.827
G8TRIHIR1_20230509,3.826
H4TRIHIR1_20230509,3.885
J1TRIHIR2_20230509,4.874
J6TRIHIR2_20230509,2.727
A3VICSAT2_20230422,2.982
B1VICSAT2_20230422,3.484
B7VICSAT2_20230422,3.644
C4VICSAT2_20230423,2.963
C5VICSAT2_20230423,2.817
D2VICSAT2_20230423,2.53
D6VICSAT2_20230423,2.66
E8VICSAT2_20230423,3.59
F3VICSAT2_20230422,2.293
F8VICSAT2_20230422,2.801
G1VICSAT2_20230422,2.902
H5VICSAT2_20230423,2.888
I1VICSAT2_20230423,3.173
I4VICSAT2_20230423,2.279
J1VICSAT2_20230423,3.01
