sample,total.leaf.area,Date,Plant_ID,Sp_Code,Plot
A5BROHOR2_20230503,6.123,2023-05-03,A5.BROHOR.2,BROHOR,A5
A6BROHOR2_20230503,4.794,2023-05-03,A6.BROHOR.2,BROHOR,A6
A7BROHOR2_20230503,9.121,2023-05-03,A7.BROHOR.2,BROHOR,A7
A8BROHOR2_20230503,6.687,2023-05-03,A8.BROHOR.2,BROHOR,A8
B1BROHOR2_20230505,12.36,2023-05-05,B1.BROHOR.2,BROHOR,B1
B2BROHOR2_20230505,4.733,2023-05-05,B2.BROHOR.2,BROHOR,B2
B3BROHOR2_20230505,6.736,2023-05-05,B3.BROHOR.2,BROHOR,B3
B4BROHOR2_20230503,5.378,2023-05-03,B4.BROHOR.2,BROHOR,B4
B5BROHOR2_20230505,3.148,2023-05-05,B5.BROHOR.2,BROHOR,B5
B6BROHOR2_20230505,3.954,2023-05-05,B6.BROHOR.2,BROHOR,B6
B7BROHOR2_20230505,6.105,2023-05-05,B7.BROHOR.2,BROHOR,B7
C1BROHOR2_20230505,8.017,2023-05-05,C1.BROHOR.2,BROHOR,C1
C2BROHOR2_20230505,7.981,2023-05-05,C2.BROHOR.2,BROHOR,C2
C3BROHOR2_20230505,9.2,2023-05-05,C3.BROHOR.2,BROHOR,C3
C4BROHOR2_20230505,3.763,2023-05-05,C4.BROHOR.2,BROHOR,C4
C5BROHOR1_20230503,4.078,2023-05-03,C5.BROHOR.1,BROHOR,C5
C8BROHOR2_20230503,6.345,2023-05-03,C8.BROHOR.2,BROHOR,C8
D1BROHOR2_20230503,6.06,2023-05-03,D1.BROHOR.2,BROHOR,D1
D2BROHOR2_20230503,4.479,2023-05-03,D2.BROHOR.2,BROHOR,D2
D4BROHOR2_20230503,6.107,2023-05-03,D4.BROHOR.2,BROHOR,D4
D6BROHOR2_20230503,8.931,2023-05-03,D6.BROHOR.2,BROHOR,D6
D7BROHOR2_20230503,5.59,2023-05-03,D7.BROHOR.2,BROHOR,D7
D8BROHOR2_20230503,3.071,2023-05-03,D8.BROHOR.2,BROHOR,D8
E1BROHOR2_20230503,5.785,2023-05-03,E1.BROHOR.2,BROHOR,E1
E3BROHOR2_20230503,12.714,2023-05-03,E3.BROHOR.2,BROHOR,E3
E5BROHOR2_20230503,5.294,2023-05-03,E5.BROHOR.2,BROHOR,E5
E6BROHOR2_20230503,3.081,2023-05-03,E6.BROHOR.2,BROHOR,E6
